Project,Client,Title,Duration
SOS1920-09,,#10 Actualizar todo el código en el repositorio.,00:36:20
SOS1920-09,,#11 Incluir las 3 url de postman en el archivo README.md,00:43:34
SOS1920-09,,#12 Paginación,03:23:27
SOS1920-09,,#13 Implementar búsquedas,02:45:15
SOS1920-09,,#14 Tener modularizado el código principal de la API,03:16:51
SOS1920-09,,#15 Postman,04:14:46
SOS1920-09,,#16 Paginación,07:57:09
SOS1920-09,,#17 Creando Recursos,04:32:50
SOS1920-09,,#18 Eliminar recursos,04:05:00
SOS1920-09,,#19 Añadir CSS,05:49:28
SOS1920-09,,#2 Slack con Github,00:26:52
SOS1920-09,,#20 Búsquedas,05:40:00
SOS1920-09,,#21 Listar todos los recurso,03:39:00
SOS1920-09,,#22 Editar un recurso,03:57:00
SOS1920-09,,#23 Separar versiones de API,01:04:08
SOS1920-09,,#24 Crear HighChart Energías Primarias,02:30:09
SOS1920-09,,#25 HighChart Grupal,02:47:09
SOS1920-09,,#26 Crear HighChart individual,02:08:23
SOS1920-09,,#27 Newman y travis,04:25:20
SOS1920-09,,#28 Crear gráfica fuentes de energía renovables,02:02:00
SOS1920-09,,#29 Representación mediante librerias del recurso de Coches eléctricos.,02:24:00
SOS1920-09,,#3 Registrar información en el repositorio común de la asignatura,00:55:49
SOS1920-09,,#31 Realizar grabación del recurso de coches eléctricos,00:36:00
SOS1920-09,,#33 Realizar integraciones,02:36:08
SOS1920-09,,#33 Realizar menú común,03:09:41
SOS1920-09,,#34 Crear gráfica energías renovables librería awesome,01:55:00
SOS1920-09,,#36 Cambio de biblioteca de gráfica RGraph,01:17:00
SOS1920-09,,#39 Representacion de libreria externa Energias Primarias,01:42:07
SOS1920-09,,#4 Configurar correctamente Toggl,00:04:53
SOS1920-09,,#40 Integración de APIS,01:50:00
SOS1920-09,,#40 Integración de APIS con Coches eléctricos,11:48:16
SOS1920-09,,#41 Proxy y cors,07:05:08
SOS1920-09,,#42 API externa,00:50:00
SOS1920-09,,#43 Integración de APIs con energías renovables,11:17:00
SOS1920-09,,#44 Integracion API energias primarias..,11:41:13
SOS1920-09,,#45 Arreglar D02,01:18:49
SOS1920-09,,#46 Revisión general,01:44:00
SOS1920-09,,#46 Revisión general coches eléctricos,01:40:00
SOS1920-09,,#5 More data examples,00:21:59
SOS1920-09,,#6 Implementar servidor web,02:42:02
SOS1920-09,,#7 Crear carpeta public,02:10:34
SOS1920-09,,#8 Herokuapp,04:46:00
SOS1920-09,,#9 Desplegar la API,08:21:35
SOS1920-09,,Buscar existencias de API,00:54:23
,,#3 weekly sprint 2/3/20,00:07:14
,,Completar ejemplos en la Propuesta de trabajo,00:07:19
,,servidor web en NodeJS,01:28:55
